	Stdev_slope	R2	Stdev_0.05	Stdev_0.1	Stdev_0.2	Stdev_0.3	Mean_0.05	Mean_0.1	Mean_0.2	Mean_0.3	Stdevnorm_0.05	Stdevnorm_0.1	Stdevnorm_0.2	Stdevnorm_0.3
MEOHtex	1.0157687735319503	0.9999998111782556	4.415144790260553e-06	8.832875415737865e-06	1.7693227309189454e-05	2.6611987212751535e-05	-8.69881533397733e-05	-8.702296433696854e-05	-8.714053146600794e-05	-8.732468751821024e-05	0.05075570202088462	0.10150051176762247	0.20304245351190317	0.3047475801983489
MEOHtrpp	1.0157687735319503	0.9999998111782556	4.415144790260553e-06	8.832875415737865e-06	1.7693227309189454e-05	2.6611987212751535e-05	-8.69881533397733e-05	-8.702296433696854e-05	-8.714053146600794e-05	-8.732468751821024e-05	0.05075570202088462	0.10150051176762247	0.20304245351190317	0.3047475801983489
MEPCT	0.756561346611471	0.9999991245246553	9.386592611616918e-05	0.00018781843447159002	0.00037634344345847774	0.0005661446647966901	0.002487339940268721	0.0024878107666241136	0.002490114350854953	0.0024943545053407955	0.03773747391602144	0.07549546653279186	0.1511350044343403	0.22697041001368792
METAT	0.5597351379641016	0.9999975567044508	2.8599857255297403e-05	5.7220866686077687e-05	0.00011464937490175555	0.00017250456745086082	0.0010259439146741438	0.001025833464000432	0.0010261636150176552	0.0010272686361486416	0.027876628387021696	0.055779879185198424	0.11172621327036918	0.16792546893829252
METS	0.9881558651374452	0.9999995460826993	0.006639279192201044	0.013284036139617395	0.026613034997620015	0.040026357583641196	0.13448470222357597	0.13457398070821247	0.13477393338288562	0.1350059017826906	0.049368285629717804	0.0987117722884356	0.19746425981360793	0.29647857652970444
MG2t3_2pp	1.0205514680662824	0.9999999455402673	0.00038443217072818423	0.0007691697431959814	0.001541047155373623	0.0023164576967989775	0.007540577597407586	0.007542483665466988	0.007551010195035131	0.0075666416922770185	0.05098179360429235	0.10197831076752605	0.204084899314118	0.30614079416014867
MG2tex	1.0205514680662824	0.9999999455402673	0.00038443217072818423	0.0007691697431959814	0.001541047155373623	0.0023164576967989775	0.007540577597407586	0.007542483665466988	0.007551010195035131	0.0075666416922770185	0.05098179360429235	0.10197831076752605	0.204084899314118	0.30614079416014867
MN2tpp	1.0253553599222454	0.999999667901088	3.0820371414801095e-05	6.166152656539561e-05	0.00012347887609650434	0.00018556318623915309	0.0006003056980344601	0.0006006422287020476	0.0006016822527042294	0.0006032603002109831	0.05134112755503426	0.10265932633248669	0.20522273266584648	0.30760052696034296
MNtex	1.0253553599222454	0.999999667901088	3.0820371414801095e-05	6.166152656539561e-05	0.00012347887609650434	0.00018556318623915309	0.0006003056980344601	0.0006006422287020476	0.0006016822527042294	0.0006032603002109831	0.05134112755503426	0.10265932633248669	0.20522273266584648	0.30760052696034296
MOAT	0.98778459746892	0.9999950024274185	0.0008314601928960305	0.0016637003290247488	0.003333375633057814	0.0050138483997530245	0.01692381435708165	0.016923147232979694	0.016920965434471916	0.016918042235940213	0.04912959781717954	0.09830915645421691	0.19699677574347843	0.29636102864796887
MOAT2	0.98778459746892	0.9999950024274185	0.0008314601928960305	0.0016637003290247488	0.003333375633057814	0.0050138483997530245	0.01692381435708165	0.016923147232979694	0.016920965434471916	0.016918042235940213	0.04912959781717954	0.09830915645421691	0.19699677574347843	0.29636102864796887
MOBDabcpp	1.020335645285512	0.9999999473802421	4.433581303620962e-06	8.871287703217094e-06	1.7775132061873307e-05	2.6717058975274505e-05	8.69802393595051e-05	8.700750624643093e-05	8.711125354021767e-05	8.728969886259666e-05	0.05097228216740318	0.10196002719686034	0.20405092728538057	0.3060734465051829
MOBDtex	1.020335645285512	0.9999999473802421	4.433581303620962e-06	8.871287703217094e-06	1.7775132061873307e-05	2.6717058975274505e-05	8.69802393595051e-05	8.700750624643093e-05	8.711125354021767e-05	8.728969886259666e-05	0.05097228216740318	0.10196002719686034	0.20405092728538057	0.3060734465051829
MOHMT	0.9037025330596319	0.9999989630918538	2.6648374762044886e-05	5.3308640106509056e-05	0.00010676736293278057	0.0001605632978173449	0.0005912449339596776	0.0005912112520315241	0.0005914824355248121	0.0005922278201537627	0.04507163314461868	0.09016851408583572	0.18050808700354345	0.27111745236091267
MPTG	1.0093507285644348	0.9999959417435731	0.0006065331103718719	0.001213751662296592	0.002432368766168456	0.0036593935048653096	0.012078935781476625	0.012078554631123258	0.012079921742407277	0.01208443843490745	0.050214118308502545	0.10048815436650618	0.2013563347541799	0.3028186642330588
MTHFC	0.4957344987868466	0.9995788239872426	0.023078832824342713	0.04529765377408276	0.08858176257360577	0.13363764840182174	0.859695050768269	0.861137274434818	0.8747868038924583	0.8947765496204548	0.026845371278708938	0.05260212874168353	0.10126097259292396	0.1493530965451743
MTHFD	0.4957344987868466	0.9995788239872426	0.023078832824342713	0.04529765377408276	0.08858176257360577	0.13363764840182174	0.859695050768269	0.861137274434818	0.8747868038924583	0.8947765496204548	0.026845371278708938	0.05260212874168353	0.10126097259292396	0.1493530965451743
MTHFR2	0.9881558651374452	0.9999995460826993	0.006639279192201044	0.013284036139617395	0.026613034997620015	0.040026357583641196	0.13448470222357597	0.13457398070821247	0.13477393338288562	0.1350059017826906	0.049368285629717804	0.0987117722884356	0.19746425981360793	0.29647857652970444
NADH16pp	0.06499994740740771	0.9999909518869016	0.12529718898552872	0.25085438936965404	0.5035401573584509	0.7580212200214882	38.87864253352249	38.87828451864636	38.8769472005892	38.87596227172086	0.0032227768466322666	0.0064523008788966016	0.012952152718174834	0.019498455490911098
NADH17pp			0.0	0.0005169249828010913	0.0004446133155070126	0.0003369922585487023	0.0	0.00020428799383339675	0.00011703505073425075	5.4998524880132357e-05		2.530373778219486	3.7989757146907004	6.127296309913163
NADK	1.0155558148420656	0.9999998792888056	1.9916903811984544e-05	3.984474300915932e-05	7.98087726627936e-05	0.0001200328820851328	0.0003916152462401505	0.00039193808832289873	0.0003927938323286274	0.00039394578482895	0.05085834630598342	0.10166080867428524	0.2031823468043213	0.3046939114661442
NADS1	0.8565826052108452	0.9999998099478168	8.482663777999726e-05	0.00016969802165288473	0.0003398928603761199	0.0005109637932509179	0.0019828975306976295	0.001983253993400107	0.001985045424204568	0.001988403813980556	0.04277913329699557	0.08556545062690284	0.17122674183252967	0.2569718432736392
NDPK1			0.0	0.0	0.0	0.006852435916493252	0.0	0.0	0.0	0.0001961720172909453				34.930751139344785
NDPK2			0.0	0.0	0.00040045316788440337	0.010641296110416377	0.0	0.0	4.997908622392162e-06	0.0006296765213485404			80.12414754648584	16.899623456860915
NDPK3			0.0	0.0	0.00016593572737507448	0.003988140213234715	0.0	0.0	1.6593572737507448e-06	0.00017613384256444847			100.0	22.64266852507592
NDPK4			0.0	0.0	0.0002258166128891171	0.0014159684730163536	0.0	0.0	2.2581661288911695e-06	7.278913572146363e-05			100.00000000000007	19.453019451072024
NH4tex	0.1464912966970078	0.9999976665099323	0.068562042154527	0.13715059356561685	0.27463532398988044	0.4127962904950698	9.392494856304541	9.392271150617656	9.3919520103373	9.392238754210219	0.0072996624649207	0.01460249511180238	0.029241559548813884	0.043950787591512976
NH4tpp	0.1464912966970078	0.9999976665099323	0.068562042154527	0.13715059356561685	0.27463532398988044	0.4127962904950698	9.392494856304541	9.392271150617656	9.3919520103373	9.392238754210219	0.0072996624649207	0.01460249511180238	0.029241559548813884	0.043950787591512976
NI2tex	1.014456137809468	0.9999987892588776	1.4077323986345465e-05	2.8161076645486375e-05	5.63984719408792e-05	8.481716097335034e-05	0.0002782470639280449	0.0002782391690807482	0.00027836367615913373	0.0002786816763273472	0.05059289319216637	0.10121176230695868	0.20260715305626864	0.30435140943289635
